tanggal,jenis,kategori,nominal,sifat,mood,impulsif,keterangan
2026-06-17,Pengeluaran,Makan,26000,Need,Tired,No,Makan malam simple
2026-06-18,Pengeluaran,Makan,29000,Need,Neutral,No,Makan harian
2026-06-18,Pengeluaran,Transport,55000,Need,Neutral,No,Grab ke bandara meeting
2026-06-18,Pengeluaran,Transport,55000,Need,Neutral,No,Grab dari bandara
2026-06-19,Pengeluaran,Jajan,320000,Need,Neutral,No,Laptop kerja mouse dan adaptor rusak
2026-06-19,Pengeluaran,Makan,35000,Need,Neutral,No,Makan siang
2026-06-20,Pengeluaran,Social,200000,Need,Happy,No,Kado ulang tahun ibu
2026-06-20,Pengeluaran,Makan,45000,Wants,Happy,Yes,Celebrate bonus makan enak
2026-06-21,Pengeluaran,Makan,24000,Need,Neutral,No,Makan weekend
2026-06-21,Pengeluaran,Jajan,45000,Wants,Happy,Yes,Kopi specialty healing
2026-06-22,Pengeluaran,Makan,31000,Need,Neutral,No,Makan siang Senin
2026-06-22,Pengeluaran,Transport,23000,Need,Neutral,No,Commute
2026-06-23,Pengeluaran,Makan,36000,Need,Neutral,No,Makan siang
2026-06-23,Pengeluaran,Jajan,98000,Wants,Stressed,Yes,Checkout keranjang marketplace malam
2026-06-24,Pengeluaran,Makan,28000,Need,Neutral,No,Makan
2026-06-24,Pengeluaran,Transport,21000,Need,Neutral,No,Transport
2026-06-25,Pengeluaran,Makan,39000,Need,Neutral,No,Makan siang
2026-06-25,Pengeluaran,Social,100000,Wants,Happy,Yes,Ngopi hangout teman kantor
2026-06-26,Pengeluaran,Makan,27000,Need,Neutral,No,Makan
2026-06-26,Pengeluaran,Transport,18000,Need,Neutral,No,Ojek
2026-06-27,Pengeluaran,Social,80000,Need,Happy,No,Persembahan ibadah
2026-06-27,Pengeluaran,Makan,55000,Wants,Happy,Yes,Makan keluarga weekend
2026-06-28,Pengeluaran,Jajan,42000,Need,Neutral,No,Kebutuhan rumah tangga
2026-06-28,Pengeluaran,Makan,30000,Need,Neutral,No,Makan
2026-06-29,Pengeluaran,Makan,34000,Need,Neutral,No,Makan siang
2026-06-29,Pengeluaran,Transport,26000,Need,Neutral,No,Commute akhir bulan
2026-06-30,Pengeluaran,Jajan,25000,Need,Neutral,No,Admin bank
2026-06-30,Saving/Investment,Jajan,500000,Need,Neutral,No,Beli saham BBCA rutin
2026-07-01,Pemasukan,Gaji,11500000,Need,Happy,No,Gaji bulan Juli
2026-07-01,Pengeluaran,Jajan,150000,Need,Neutral,No,bpjs kesehatan Juli
2026-07-01,Pengeluaran,Jajan,2200000,Need,Neutral,No,Sewa kos Juli
2026-07-02,Pengeluaran,Makan,29000,Need,Neutral,No,Makan siang
2026-07-02,Pengeluaran,Transport,22000,Need,Neutral,No,Grab ke kantor
2026-07-02,Pengeluaran,Makan,52000,Wants,Stressed,Yes,Makan malam delivery stress deadline
2026-07-03,Pengeluaran,Makan,47000,Need,Neutral,No,Starbucks meeting kerja presentasi
2026-07-03,Pengeluaran,Transport,30000,Need,Neutral,No,Gojek meeting
2026-07-03,Pengeluaran,Jajan,135000,Wants,Stressed,Yes,Skincare dan masker impulsif
2026-07-04,Pengeluaran,Social,60000,Need,Happy,No,Donasi komunitas
2026-07-04,Pengeluaran,Makan,38000,Wants,Happy,Yes,Cafe weekend
2026-07-05,Pengeluaran,Makan,31000,Need,Neutral,No,Makan siang
2026-07-05,Pengeluaran,Transport,24000,Need,Neutral,No,Commute
2026-07-05,Pengeluaran,Jajan,89000,Wants,Tired,Yes,Belanja online tengah malam FOMO
